Transaktionen,Header,DataDiscriminator,Vermögenswertkategorie,Währung,Symbol,Datum/Zeit,Menge,T.-Kurs,Schlussk.,Erlös,Prov./Gebühr,Basis,Realisierter G&V,MTM-G&V,Code
Transaktionen,Data,Order,Aktien,USD,V,"2024-04-03, 15:15:13",-8,276.63,276.96,2213.04,-2,-2260.16,-49.12,-2.64,C
Transaktionen,SubTotal,,Aktien,USD,V,,0,,,-45.12,-4,0,-49.12,-16,
Transaktionen,Data,Order,Aktien,USD,VITL,"2024-05-02, 09:58:14",200,27.72,28.21,-5544,-2,5546,0,98,O;P
Transaktionen,Data,Order,Aktien,USD,VITL,"2024-05-13, 09:35:25",-200,34.63,35.6,6926,-2,-5546,1378,-194,C
Transaktionen,SubTotal,,Aktien,USD,VITL,,0,,,1382,-4,0,1378,-96,
Transaktionen,Data,Order,Aktien,USD,VIV,"2024-01-18, 09:47:23",-110,10.240181818,10.3,1126.42,-2,-1194.95,-70.53,-6.58,C;P
Transaktionen,SubTotal,,Aktien,USD,VIV,,-110,,,1126.42,-2,-1194.95,-70.53,-6.58,
Transaktionen,Data,Order,Aktien,USD,VRT,"2024-03-14, 11:19:37",15,75.03,73.92,-1125.45,-2,1127.45,0,-16.65,O
Transaktionen,Data,Order,Aktien,USD,VRT,"2024-03-19, 09:56:19",10,74.38,77.06,-743.8,-2,745.8,0,26.8,O
Transaktionen,Data,Order,Aktien,USD,VRT,"2024-03-27, 10:02:44",-15,78.74,81.01,1181.1,-2,-1127.45,51.65,-34.05,C
Transaktionen,Data,Order,Aktien,USD,VRT,"2024-03-27, 11:53:06",-10,79.415,81.01,794.15,-2,-745.8,46.35,-15.95,C
Transaktionen,Data,Order,Aktien,USD,VRT,"2024-05-22, 17:09:14",49,101.6,100.13,-4978.4,-2,4980.4,0,-72.03,O
Transaktionen,Data,Order,Aktien,USD,VRT,"2024-05-30, 15:49:05",-49,101.65,102.28,4980.85,-2,-4980.4,-1.55,-30.87,C
Transaktionen,SubTotal,,Aktien,USD,VRT,,0,,,108.45,-12,0,96.45,-142.75,
Transaktionen,Data,Order,Aktien,USD,VST,"2024-05-06, 11:40:15",50,82.5,83.24,-4125,-2,4127,0,37,O
Transaktionen,Data,Order,Aktien,USD,VST,"2024-05-13, 13:24:56",-50,92.378,90.17,4618.9,-2,-4127,489.9,110.4,C
Transaktionen,Data,Order,Aktien,USD,VST,"2024-05-21, 14:06:18",54,93.89,94.24,-5070.06,-2,5072.06,0,18.9,O;P
Transaktionen,Data,Order,Aktien,USD,VST,"2024-05-31, 09:37:31",-54,102.03,99.08,5509.62,-2,-5072.06,435.56,159.3,C;P
Transaktionen,SubTotal,,Aktien,USD,VST,,0,,,933.46,-8,0,925.46,325.6,
Transaktionen,Data,Order,Aktien,USD,WAB,"2024-02-29, 11:53:47",13,140.28,141.29,-1823.64,-2,1825.64,0,13.13,O
Transaktionen,Data,Order,Aktien,USD,WAB,"2024-04-10, 09:30:01",-13,145.444,147.54,1890.772,-2,-1825.64,63.132,-27.248,C
Transaktionen,Data,Order,Aktien,USD,WAB,"2024-05-03, 09:35:29",15,160.83,162.21,-2412.45,-2,2414.45,0,20.7,O;P
Transaktionen,Data,Order,Aktien,USD,WAB,"2024-05-13, 13:06:12",-15,165.92,164.9,2488.8,-2,-2414.45,72.35,15.3,C
Transaktionen,SubTotal,,Aktien,USD,WAB,,0,,,143.482,-8,0,135.482,21.882,
Transaktionen,Data,Order,Aktien,USD,WEX,"2024-03-20, 10:20:56",10,233.23,235.99,-2332.3,-2,2334.3,0,27.6,O
Transaktionen,Data,Order,Aktien,USD,WEX,"2024-04-12, 12:28:59",-10,238.49,235.88,2384.9,-2,-2334.3,48.6,26.1,C
Transaktionen,SubTotal,,Aktien,USD,WEX,,0,,,52.6,-4,0,48.6,53.7,
Transaktionen,Data,Order,Aktien,USD,WINA,"2024-01-03, 09:33:33",-3,402.1,391.32,1206.3,-2,-1334.465,-130.165,32.34,C
